Name,MP3,MP4,MP6,MP5,MP2,MP1,Name,MP3,MP4,MP6,MP5,MP2,MP1
date,FYJ4000080,XUS4000600,XUS4000540,XUS4000520,FSH7004880,FMH4035426,date,FYJ4000080,XUS4000600,XUS4000540,XUS4000520,FSH7004880,FMH4035426
2015/10/4 9:00,0.35,0.6,0.3,0.4,0.6,1,2015/10/4 9:00,670577.445,971020.9997,521101.9466,463363.2339,64229.67567,130310.6163
2015/10/4 11:00,1.55,0.4,0.3,0.9,0.4,1.3,2015/10/4 11:00,675014.5071,900790.4097,332942.7921,262298.1445,63472.67475,128227.5467
2015/10/4 13:00,1.85,＜0.1,0.6,1.4,1.2,1.8,2015/10/4 13:00,592812.1685,920698.6919,300776.1675,236214.1365,60336.56044,127736.1488
2015/10/4 15:00,2.5,0.4,0.7,0.8,1.7,3.2,2015/10/4 15:00,620063.8258,970123.0528,287782.8604,226134.4963,55693.03608,175858.6967
2015/10/4 17:00,3.5,0.7,0.7,0.6,1.5,3.3,2015/10/4 17:00,599971.9671,821388.838,281939.2942,222461.0115,55008.30288,158969.9776
2015/10/4 19:00,3.65,0.7,0.4,0.8,1.4,2.6,2015/10/4 19:00,665433.387,888655.8952,308758.6275,250745.0935,65192.98954,154010.1757
2015/10/4 21:00,2.5,0.3,0.5,0.3,0.9,2.1,2015/10/4 21:00,867860.2438,1085344.181,366799.8573,277103.8559,68084.47094,158226.4126
2015/10/4 23:00,2.5,0.4,0.6,0.8,1.6,1.8,2015/10/4 23:00,779165.6136,1003054.676,364545.8748,278082.5935,86716.93153,159813.7688
2015/10/5 1:00,1.45,0.9,0.4,0.3,0.6,2.1,2015/10/5 1:00,679103.7643,903277.5925,277635.5925,220113.8168,59663.67188,159592.2741
2015/10/5 3:00,1.5,0.7,0.5,0.6,1,2.5,2015/10/5 3:00,473330.793,624075.6912,174756.2161,147887.2307,38727.72846,150492.6796
2015/10/5 5:00,1.75,0.4,0.6,0.5,0.7,1.7,2015/10/5 5:00,318937.9377,445481.4554,81909.95636,59483.97846,32198.68755,92889.16054
2015/10/5 7:00,2.9,1,0.4,0.3,0.8,1.2,2015/10/5 7:00,420933.6039,585975.852,319965.3465,266741.5512,46068.48736,51988.09605
2015/10/5 9:00,1.3,0.6,0.4,0.3,0.9,1.2,2015/10/5 9:00,676261.2476,903044.3768,328960.7803,258017.6994,66708.72173,129967.8326
2015/10/5 11:00,2.8,1.1,0.5,0.1,0.8,1.4,2015/10/5 11:00,596380.9261,924584.9064,341786.0018,280638.6246,60946.96083,124203.7903
2015/10/5 13:00,2.3,1.1,0.2,0.7,1,2,2015/10/5 13:00,573312.6085,816947.5222,307385.8292,245434.227,58447.88189,126487.2505
2015/10/5 15:00,3.3,1.3,0.4,1,1.3,2.1,2015/10/5 15:00,547333.2813,787228.2772,293483.6163,243226.2222,51055.84087,127552.5364
2015/10/5 17:00,4.1,1.3,0.4,0.6,1.7,2.5,2015/10/5 17:00,559771.209,797390.2016,269706.3148,216469.3359,50851.75781,125242.6884
2015/10/5 19:00,2.9,1.1,0.4,0.9,1.3,2.2,2015/10/5 19:00,629011.2476,871622.0638,319245.5532,247300.4883,65140.662,124562.3943
2015/10/5 21:00,0.25,9.6,0.5,1.8,1.3,1.5,2015/10/5 21:00,903375.939,1207232.582,544929.562,443650.0946,73060.5772,178379.4823
2015/10/5 23:00,2.35,0.9,0.5,0.6,0.8,1.2,2015/10/5 23:00,867740.0105,1149413.3,404860.6968,312837.719,94018.00575,180539.2639
2015/10/6 1:00,1.35,0.1,0.4,0.9,1,1.2,2015/10/6 1:00,768250.8081,998668.3863,279198.3582,221904.6638,60422.52159,180442.0555
2015/10/6 3:00,1.6,10,0.9,1,0.9,1.9,2015/10/6 3:00,480354.2908,640155.9883,128770.0207,100728.9803,37563.75103,165707.0206
