FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
Fill_link_245,2,2,FOF4000141,Sai Kung STW,900,0,Circular,-0.53,0.0,91,846340.537,826159.224,846267.8026,826104.5355999998,Sai Kung STW,True
Fill_link_246,3,3,XTS4000140,Sham Tseng STW,450,0,Circular,2.924297753451102,0.0,57,824729.1459999998,825091.339,824744.4224,825036.3249,Sham Tseng STW,True
Fill_link_247,4,4,XTS1000200,Shek Wu Hui STW,1800,0,Circular,-0.1133959192362618,0.0,151,830325.464,841070.1139999998,830356.3972999998,841218.1755,Shek Wu Hui STW,True
Fill_link_248,5,5,FMH1022645,FCH1000340,900,0,Circular,5.2,4.5,2,816536.6089,826335.4837,816536.143,826337.1992999999,Pillar Point STW,True
Fill_link_249,6,6,FCH4000884,Sha Tin STW,1000,0,Circular,-2.974661229703285,0.0,347,840103.6779999998,830061.392,840055.6365,829717.623,Sha Tin STW,True
Fill_link_250,7,7,XTS4000143,Sha Tin STW,1000,0,Circular,-15.246628577510972,0.0,335,839883.2489999998,829430.5629999998,840055.6365,829717.623,Sha Tin STW,True
Fill_link_251,8,8,XTS4000140_2,Sham Tseng STW,900,0,Circular,2.0203655669077927,0.0,77,824672.2463999998,825061.8874,824744.4224,825036.3249,Sham Tseng STW,True
Fill_link_252,9,9,FCH1002281,FCH1002281_2,450,0,Circular,2.97,4.46,1,813860.3462,826282.158,813861.5733,826281.3872999998,Pillar Point STW,True
Fill_link_253,10,10,FCH1002326,Pillar Point STW,2500,0,Circular,-1.358,0.0,91,812324.4974,825291.8333,812330.3667,825201.2264,Pillar Point STW,True
Fill_link_254,11,11,XTS1000200_2,Shek Wu Hui STW,1800,0,Circular,-0.06,0.0,134,830323.322,841088.265,830356.3972999998,841218.1755,Shek Wu Hui STW,True
Fill_link_255,12,12,SMH1007045,FMH1025183,225,0,Circular,8.66,10.83,7,830890.735,839381.7349,830889.4751,839388.6470999998,Shek Wu Hui STW,True
Fill_link_256,13,13,XPS7001880,FGJ1011510,225,0,Circular,21.396604080763737,21.93,12,833900.5999999999,836838.9649999999,833893.2506,836829.0655999999,Shek Wu Hui STW,True
Fill_link_258,14,14,FMH1065304,Tai Po Sewage Treatment Works,1200,0,Circular,2.83,0.0,183,837534.6389,835372.7927,837688.6762,835273.5246,Tai Po Sewage Treatment Works,True
Fill_link_259,15,15,FIP4000801,FIP4000860,150,0,Circular,1.0265550872692633,0.9808408015549775,16,846518.8499999999,828036.3,846515.98,828020.27,Sai Kung STW,True
Fill_link_260,16,16,XTS1000200_3,Shek Wu Hui STW,250,0,Circular,7.66,0.0,132,830331.0,841089.0,830356.3972999998,841218.1755,Shek Wu Hui STW,True
Fill_link_261,17,17,FGJ1008820,FGJ1008800,150,0,Circular,23.2,25.6,30,834585.283,845354.5459,834556.9218,845344.7661999998,Shek Wu Hui STW,True
Fill_link_262,18,18,FGJ1008240,FVH1001681,250,0,Circular,8.241,8.535,22,833527.1125,840156.6846,833541.452,840173.5,Shek Wu Hui STW,True
Fill_link_263,19,19,FCH1004820_2,San Wai STW,1200,0,Circular,18.236,18.236,114,816276.6519,834211.2957,816260.1302,834324.1139,San Wai STW,True
Fill_link_264,20,20,FCH1004820_3,San Wai STW,1200,0,Circular,18.236,18.236,116,816276.6694999998,834209.2861,816260.1302,834324.1139,San Wai STW,True
Fill_link_266,22,22,FCH1005163,FIP1001600,250,0,Circular,16.69,15.9,9,834206.1102,845135.5367,834196.8588,845134.8260999998,Shek Wu Hui STW,True
Fill_link_267,23,23,FGJ1002941_2,Pillar Point STW,2500,0,Circular,-29.509567426879013,0.0,90,812353.5,825288.5,812330.3667,825201.2264,Pillar Point STW,True
