Node,HRT,Total_Length,x_node,y_node
FGJ1002941_2,0.0238952755626046,90.0,812353.5,825288.5
FGJ1002941,0.008893305959033,90.0,812353.5,825288.5
FOF4000141,0.0241607786244113,91.0,846340.537,826159.224
XTS4000140,0.0060856254148503,57.0,824729.1459999998,825091.339
XTS1000200,0.0400909623328145,151.0,830325.464,841070.1139999998
FCH4000884,0.0921295624469313,347.0,840103.6779999998,830061.392
XTS4000140_2,0.0067469571117928,77.0,824672.2463999998,825061.8874
FCH1002281,0.4948492473375224,1918.0,813860.3462,826282.158
FCH1002326,0.0241607786244113,91.0,812324.4974,825291.8333
XTS1000200_2,0.0355774102821002,134.0,830323.322,841088.265
SMH1007045,0.7188244558584491,3429.0,830890.735,839381.7349
XPS7001880,1.3907635290803033,6682.0,833900.5999999999,836838.9649999999
FIP4000801,0.8091727171186694,2962.0,846518.8499999999,828036.3
XTS1000200_3,0.0100548219842095,132.0,830331.0,841089.0
FGJ1008820,2.143240601093662,8264.0,834585.283,845354.5459
FGJ1008240,1.0001307126376997,5209.0,833527.1125,840156.6846
FCH1004820_2,0.0302673490459659,114.0,816276.6519,834211.2957
FCH1004820_3,0.0307983551695793,116.0,816276.6694999998,834209.2861
FCH1002281_3,0.49458374427571566,1918.0,813862.4222999999,826279.3192
FCH1005163,2.0329147097039453,7823.0,834206.1102,845135.5367
FCH1005111,0.1382178986997128,1080.0,813165.1929,825734.3567999998
XTS1000201_2,0.0374359317147473,141.0,820800.9599999998,836365.045
XTS1000201,0.0198692954552677,138.0,820794.3349999998,836369.738
FLH1000256,1.1679573670574726,4433.0,835136.1955,833942.1579
FLH1000447,1.123786797621187,4322.0,835154.2876,833972.0540999998
FTH1003421,0.5566917972237416,3391.0,817740.312,836227.603
FMH1012077,1.1758319343845447,6153.0,815755.106,828092.5529999998
FMH1012135,0.6232480966935275,4500.0,815407.8,827866.5999999999
FTH1003260,1.2151061269448318,6420.0,817043.0,826085.0
FMH1012491,0.9634243729573582,5204.0,815019.2589,827058.1232
FMH1012499,0.8544666790010436,5135.0,815100.905,827184.995
FGJ1001502,0.7615560814114374,4963.0,815799.0,827710.0
FMH1042164,0.7074300148367543,2553.0,820761.577,834829.3199999998
FMH1009643,1.3942187771213008,5133.0,819290.3656999998,832864.0952
FLH4023100,2.4060625115330287,9941.0,832387.1515,827092.0139
FMH4046194,0.5577892247781163,4468.0,835784.4969999999,820652.442
FLH4007546,2.2269169570409266,9053.0,832146.007,826513.882
FLH4008520,2.986357881470554,10522.0,841029.696,818955.184
FLH4011185,0.8113661464434957,4240.0,837577.257,827417.4549999998
FLH4015080,1.922558778022058,8226.0,832242.5849999998,825760.973
FLH4013681,3.0908763090479194,10779.0,841124.664,818748.98
FTH4004017,0.5869209206999216,3611.0,837791.6779999998,827679.5999999999
FLH4011685,0.6718278398561631,2445.0,845789.706,827616.3959999998
FLH4011300,3.488457826549425,12873.0,842507.0452,817053.0438
FLH4010580,0.9327685459926468,6220.0,836239.797,821949.52
FTH4004002,0.6419714552610291,3835.0,837688.307,827826.366
FTH4004010,0.6148213027861262,3705.0,837786.88,827743.587
FGJ4005768,0.8466279628831685,5656.0,835542.3669999999,818946.55
FMH4056539,0.5375560246035328,2640.0,822789.783,824815.6709999999
FGJ4024529,0.44243113246201865,2935.0,834393.751,821996.297
FMH4046200,5.470658405218184,19184.0,845821.104,820357.6339999998
FMH4047428,0.6363747850457191,5199.0,836434.738,820630.665
FLH4009242,1.0239033088302978,5999.0,836470.0379999998,826041.582
FLH4018820,0.607460363387597,2485.0,845095.16,827002.3939999999
FMH1012632,0.631187849435845,3799.0,814849.0531,825946.3752
FLH1000742,0.707728603876901,4713.0,814994.579,828186.1559999998
FLH1000755,0.6053335044740122,4109.0,815327.3406,827031.3536
FLH1000761,0.918267623000469,5352.0,815338.0,827186.0
FTH1003164,1.0530763960565663,5688.0,816442.0,826439.0
FTH1002310,1.2483043789592978,4707.0,834919.0,834111.0
FMH1008611,1.9041233501454582,7915.0,822586.0139999999,833828.164
FTH1014041,1.1768632432310837,4450.0,835119.5324999999,833950.2813999999
FMH1012566,0.38795244463616696,2525.0,814201.6248,826007.0327
FMH1012016,1.1167409211768748,5955.0,815603.2313,828149.882
FMH1008770,0.7782716101467113,3266.0,821040.331,834491.257
FGJ1000044,0.825613806779073,2976.0,835310.0,835060.0
FMH1000534,0.8383026814256761,3000.0,835278.0,835075.0
FTH1002970,1.1447398166859637,4410.0,835104.7885999999,833951.9754999998
FTH1002184,1.150789867076932,4356.0,834530.0,834912.0
FTH1002186,1.0889033156851318,4144.0,834672.0,834987.0
FLH4020900,0.7601286435373056,4476.0,838308.206,826458.162
FLH4021220,5.535821399510695,19667.0,845798.349,821015.294
FLH4021340,0.6007448083197557,3820.0,838402.3839999998,828624.039
FMH4011154,0.440014470464078,3847.0,834938.9649999999,820225.753
FTH4006281,0.6756991545835831,2482.0,845749.971,827625.648
FTH4006285,0.7171562554959713,2442.0,845745.3989999999,827605.4969999999
Filled_fr_0,0.7295879883061718,5352.0,835828.3499999999,820029.0139999999
Filled_fr_1,0.7445047263965505,5370.0,835827.789,820049.386
FLH4004371,1.1571136246418334,5751.0,842643.297,832047.763
FTH4002500,1.161022897576804,5745.0,842710.792,832049.402
FGJ4024547,0.46062135589790165,3474.0,833246.1189999998,822155.4529999999
FGJ4006260,0.5660290098655384,4820.0,836134.049,820710.2249999999
FGJ4024543,0.45362443626002785,2947.0,834360.376,822095.181
FGJ4024539,0.44777747499155746,2936.0,834351.915,822085.681
FTH4004219,0.6424635842172894,2325.0,845842.13,827537.596
FTH4004223,0.632609080575017,2307.0,845838.013,827516.469
FTH4004225,0.6243025936021294,2285.0,845833.983,827494.5259999998
FLH4011524,0.6509651242228979,2387.0,845807.28,827591.86
FLH4011721,0.691738988192866,2496.0,845740.458,827623.9649999999
FLH4013782,1.1061556414522908,5993.0,836567.157,826926.148
FLH4013520,3.0555757528175578,11265.0,839908.211,819626.969
FGJ4005743,0.6109909388068026,4906.0,835455.8199999998,819721.837
FGJ4005746,0.6820214227438659,5107.0,835522.7959999999,819629.904
FTH4005686,5.312492635996952,18201.0,846683.532,819562.153
FMH4056520,0.5866880192945627,2810.0,822881.241,824942.939
FMH4057681,0.289998532971142,1147.0,824163.2959999999,825623.613
FLH4012200,1.0250983580642794,5600.0,836636.363,826654.4009999998
FLH4012460,0.7198328475356809,5319.0,836279.1729999998,821157.3789999998
FTH4004205,0.687112417125512,2420.0,845880.476,827633.179
FLH4011688,0.6927493706699959,2375.0,845834.12,827572.175
FTH4004481,0.7348966026118576,4420.0,838864.167,829226.3029999998
FTH4004485,0.7316974987285809,4408.0,838864.812,829216.37
FTH4004528,0.7059249729251657,4308.0,838729.297,829152.4329999998
FTH4004531,0.7306267118649948,4344.0,838772.478,829168.049
FTH4004538,0.6999641434032559,4288.0,838728.745,829134.126
FLH4018724,5.278684185202566,17970.0,846304.561,819574.447
FLH4015980,0.577934345981316,2361.0,826391.706,825590.855
FTH4003965,1.2031852679498152,6679.0,836774.147,825186.826
FSH4002060,0.6487939195961417,2533.0,826219.657,825611.897
FTH1000681,0.6296828416966451,3480.0,832431.0,838830.0
FTH1000986,0.6037093807396757,2780.0,832259.0,840408.0
FTH1000761,0.724561536921272,2955.0,831938.0,839182.0
SDH1000100,0.46596085174448665,2492.0,831972.657,839806.985
FTH1000678,0.7267428349934277,3900.0,832795.0,838552.0
FTH1000763,0.713271491076784,3797.0,832935.0,839481.0
FTH1003000,1.139990348104932,4390.0,835119.5873999998,833972.7319999998
FMH1007444,1.0223891986284692,3341.0,835077.463,834918.268
FLH1000202,1.1329067660641945,4370.0,835148.8209,834001.4196
FLH1000204,1.147705746403698,4399.0,835146.4669999998,833991.8199
FLH1000445,1.1401653687427675,4397.0,835112.5150999998,833963.7796999998
FMH1009486,0.4329338091719491,1407.0,821067.976,835357.2169999998
FMH1009503,0.14296880888941188,534.0,820608.0,836140.0
FMH1009506,0.08614636468147821,382.0,820834.5139999999,836119.8569999998
FMH1009513,0.7296054521552353,2613.0,818376.9699999999,833762.757
FMH1012884,0.0687158631744358,455.0,812674.0579999998,825313.307
FMH1012897,0.1047358196593768,429.0,812639.848,825257.273
FMH1009086,1.0501849636926217,3513.0,818982.2286,832666.5194
FMH1009617,0.3338481751322727,1124.0,820348.077,835691.615
Filled_fr_2,2.293618906832227,8265.0,837435.339,820282.885
Filled_fr_3,2.2925596874683656,8267.0,837442.049,820276.402
FMH4065220,2.945413027291232,9973.0,841260.8793999999,818971.2398
FTH4005682,5.292083403250158,18198.0,846689.6559999998,819554.875
FTH4005675,5.285319282351334,18212.0,846721.6999999998,819545.154
FGJ4005562,0.7013983001008638,5407.0,836032.508,821343.5649999998
FGJ4009080,0.8732927403973636,5737.0,835236.1389999999,818382.966
FGJ4024594,0.3799824945511588,3084.0,832996.1929999999,821993.159
FLH4025545,5.332951664997995,18143.0,846290.5019999999,819620.042
Filled_fr_4,2.7010815630646197,10737.0,838376.2996,822812.8721
FMH4058240,0.2711710971876091,1055.0,824094.4819999998,825492.853
FTH4005495,5.269595589849758,18022.0,846503.354,819542.082
FLH4021600,1.138158646900257,6254.0,836307.6857,826281.0618999999
FLH4013880,2.455821525267958,9209.0,836016.9379999998,817766.699
FMH4063300,0.5830700831147235,3710.0,835002.5947999998,821387.2051999999
FMH4063312,0.5567345410222353,3644.0,834939.028,821458.3769999999
FLH4017080,0.9979905803241678,6324.0,835687.637,818358.181
FLH4011720,0.6914734851310592,2495.0,845741.712,827624.011
FGJ4006083,0.4235580658189344,2669.0,833932.589,821973.883
Filled_fr_5,0.27869837767321604,2793.0,834384.9109,821073.0796
FLH4006220,5.664468555965949,19962.0,843744.6929999999,818526.082
FTH4002664,0.7636338252350524,4311.0,837322.326,827258.6409999998
FTH4002666,0.7501754780685784,4260.0,837358.392,827229.2389999998
FLH4014380,1.0191147997343577,5655.0,843144.375,832079.295
FTH4004441,2.4365695163355348,9729.0,827502.5509999999,825426.9279999998
FTH4004821,0.8248248640633854,4612.0,837056.442,827387.2219999998
FLH4016860,0.5844487999578011,4328.0,835192.167,820240.7689999999
FGJ4022500,2.3856903869350283,9557.0,827703.5697,825438.2406999998
FLH4009620,1.0430795907174444,5166.0,841662.1439999999,831831.473
FLH4009220,1.1468386821761365,6664.0,836004.773,825320.0189999999
FGJ4004500,1.1989527175038595,4044.0,829591.582,822881.9669999998
FLH4013441,3.0634828855598033,10956.0,841030.299,819268.099
FTH4004120,0.6800956271121007,2456.0,845780.434,827618.56
Filled_fr_6,0.502981616760654,4294.0,835572.235,820420.635
FGJ4006100,0.6211670193031315,4120.0,833809.184,822442.6409999998
FGJ4006103,2.2718259881100327,7676.0,827538.31,824671.348
FGJ4006120,3.4615359269338035,12359.0,839636.7469999999,820242.0949999999
FTH4006302,5.427218110811048,18795.0,844344.8789999998,818381.628
Filled_fr_7,2.350300726926898,8407.0,837122.5509999999,818728.0039999998
FLH4008241,0.769287687144283,4334.0,837301.9719999998,827251.351
FTH1000729,0.7217586458084602,3023.0,831673.0,839013.0
FLH1002420,0.2837012370472647,803.0,837339.133,834957.6113
FTH1001360,0.1974443671447172,618.0,837466.0,835025.0
FTH1001496,0.3974603834094386,1133.0,837198.0,835995.0
FTH1001498,0.3817265169062584,1096.0,837232.0,835977.0
FTH1001285,0.4040042837612789,1272.0,836723.1469,835458.2552999998
FTH1001398,0.3841874417271852,1082.0,837298.0,835977.0
FTH1001401,0.3911541675334171,1096.0,837316.0,835977.0
FTH1001408,0.43483421332691413,1152.0,837375.0,835977.0
FMH1004730,0.3357458893305332,1455.0,831133.0309999998,840398.311
FTH1001660,0.47369793556222584,1570.0,836515.5579999998,834792.5749999998
FMH1004627,0.22850837665276263,1069.0,830689.424,840773.424
FTH1001460,0.5864324189167142,1750.0,836343.0,835428.0
FLH1000281,0.6846910593121849,2295.0,836661.3891,836249.6454
FTH1001611,0.6433610668889017,2154.0,836676.4913,836121.0475
FTH1001368,0.2219375328353303,1478.0,838116.0,836200.0
FTH1001370,0.24060224134980823,1627.0,838180.7049999998,836056.398
FTH1001319,0.2821340134020969,817.0,837296.0,835740.0
FTH1001321,0.2488609828441474,755.0,837337.0,835744.0
FTH1001389,0.4555056808972481,1182.0,837362.0,836008.0
FMH1065283,1.0390796545945868,3357.0,835071.1883,834939.973
