country_iso,country,WASTE_ID,catchment_id,WWTP_NAME,urban_zone_id,urban_zone_type,LAT_WWTP_deg,LON_WWTP_deg,POP_SERVED_people,WASTE_DIS_m3_day,per_capita_l_day,per_capita_water_L_person_day,building_count,positive_flow_building_count,zero_flow_building_count,assigned_population_people,ratio,average_assigned_population_per_building,sum_Lb_m,sum_Qb_m3_day,sum_Lb_over_Qb_day_per_m2,average_Lb_m,average_Qb_m3_day,max_Lb_m,min_positive_Qb_m3_day,catchment_status,schema_version,method_version
AFG,Afghanistan,54442,54442,,UC:3868_2025,urban_centre,31.51,65.872,48792,1590.631,32.60024184292507,32.60024184292507,4661,4661,0,107760.97640279247,2.208578791662413,23.119711736278152,14521544.34569013,3513.033891960782,212116265.41158003,3115.5426615941064,0.7537081939413821,6746.398739457738,0.0011674888187564458,assigned,1.0,ghsl2025-capacitated-building-v1
AFG,Afghanistan,54625,54625,,UC:4703_2025,urban_centre,34.536,69.221,753648,24568.938,32.60001751480797,32.60001751480797,671464,671464,0,5105709.255119109,6.7746603920120645,7.60384660252688,6611666699.992168,166446.2111424029,149808269062.27405,9846.643602623772,0.24788553242229353,27473.157462147723,0.001000657273209524,assigned,1.0,ghsl2025-capacitated-building-v1
AFG,Afghanistan,54778,54778,,DUC:DUC_25471,dense_urban_cluster,36.649,68.923,62796,2047.163,32.60021338938786,32.60021338938786,753,753,0,5480.805424581394,0.08727953093479511,7.278626061861081,1136765.3383566511,178.67542638706811,83579664.49593723,1509.648523714012,0.23728476279823124,2857.086109830769,0.001004220216278294,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54117,54117,,DUC:DUC_341,dense_urban_cluster,24.081,52.624,23962,4140.745,172.80464902762708,172.80464902762708,2647,2647,0,32596.365958238013,1.3603357799114437,12.314456349919915,8601318.72947616,5632.803578989423,51155782.35169472,3249.459285786233,2.127995307513949,5937.935862907429,0.0013104154459686588,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54123,54123,,DUC:DUC_519,dense_urban_cluster,24.12,52.683,51458,8892.33,172.8075323564849,172.8075323564849,189,189,0,22523.30917637888,0.43770277073300323,119.17094802316868,231633.2484285296,3892.197479272209,75482.13432353982,1225.572743008093,20.593637456466713,2430.0507722084976,0.08083246545991639,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54130,54130,,UC:309_2025,urban_centre,24.424,54.436,110809,19148.433,172.80575585015657,172.80575585015657,73938,73938,0,536860.8650122012,4.844921125650455,7.26096006129732,735298034.0545977,92772.64756480166,7587497622.767439,9944.792042719546,1.2547356915902739,19524.00820086392,0.0011830428956778021,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54162,54162,,DUC:DUC_7032,dense_urban_cluster,24.805,56.137,108299,18714.821,172.80696035974478,172.80696035974478,1034,1034,0,25811.7348676411,0.2383377027270898,24.962993102167406,1397876.631500763,4460.447444088701,3402308.268803091,1351.911635880815,4.313778959466829,2951.7465131021104,0.005848872940230193,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54168,54168,,UC:865_2025,urban_centre,24.994,55.152,242294,41869.963,172.80643763361866,172.80643763361866,15524,15524,0,455792.029691798,1.8811527718053191,29.360476017250576,83867719.63370454,78763.79695283629,410333597.5526387,5402.455529097175,5.0736792677683775,13832.100137734787,0.0010197428602919932,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54169,54169,,DUC:DUC_3808,dense_urban_cluster,25.02,55.289,99458,17186.988,172.80649118220757,172.80649118220757,4722,4722,0,34314.604631049624,0.3450160332104971,7.266964131946129,10768594.03098982,5929.786422596402,59297988.68747805,2280.5154661138968,1.2557785731885647,3696.102813408909,0.00170610097291149,assigned,1.0,ghsl2025-capacitated-building-v1
ARE,United Arab Emirates,54170,54170,,UC:865_2025,urban_centre,25.029,55.176,60958,10533.903,172.80591554841038,172.80591554841038,9476,9476,0,114658.38281803484,1.8809406938881663,12.09987155108008,27703278.48137226,19813.646818170608,111020827.41938873,2923.520312512902,2.0909293814025545,6507.882920381787,0.004199852049516328,assigned,1.0,ghsl2025-capacitated-building-v1
