node,type,invert_elev,x,y,catchment
CMH4000140,junction,93.20674117454973,842490.4519999996,819238.0989999995,SCISTW
FCH1000020,junction,2.75,835829.0410000002,835076.716,Tai_Po_Sewage_Treatment_Works
FCH1000080,junction,18.830260941473238,834355.5029999996,834949.0399999991,Tai_Po_Sewage_Treatment_Works
FCH1000160,junction,12.091139761216187,835934.9970000004,834126.3859999999,Tai_Po_Sewage_Treatment_Works
FCH1000161,junction,12.688454838551703,836052.4029999999,834097.8880000003,Tai_Po_Sewage_Treatment_Works
FCH1000162,junction,12.088454838551703,836198.8700000001,834082.1370000001,Tai_Po_Sewage_Treatment_Works
FCH1000264,junction,4.2,818405.4539999999,834257.6830000002,San_Wai_STW
FCH1000268,junction,10.7,818911.3949999996,834667.4020000007,San_Wai_STW
FCH1000288,junction,11.41,818710.3710000003,834518.8550000004,San_Wai_STW
FCH1000290,junction,11.55,818727.3499999996,834544.0800000001,San_Wai_STW
FCH1000340,junction,82.30729777411213,816536.1429999999,826337.1993000001,Pillar_Point_STW
FCH1000540,junction,91.67818758707892,815195.0700000003,827889.2119999994,Pillar_Point_STW
FCH1000542,junction,89.87318758707893,815104.8389999997,827909.8080000002,Pillar_Point_STW
FCH1000545,junction,68.7536683340925,814644.9979999997,827115.7540000007,Pillar_Point_STW
FCH1000547,junction,70.1136683340925,814766.6789999995,827085.8330000006,Pillar_Point_STW
FCH1000549,junction,95.9112636426641,815208.6233999999,828374.6830000002,Pillar_Point_STW
FCH1000550,junction,100.94226112917268,815293.4971000003,828354.4385000002,Pillar_Point_STW
FCH1000551,junction,103.76617504895307,815404.3219999997,828960.2880000006,Pillar_Point_STW
FCH1000553,junction,104.29617504895307,815477.6399999997,828907.5510000009,Pillar_Point_STW
FCH1000554,junction,-0.3584498448506062,817340.1529999999,826032.7280000001,Pillar_Point_STW
FCH1000567,junction,3.09,811306.6399999997,825627.5199999996,Pillar_Point_STW
FCH1000569,junction,3.1,811311.3543999996,825633.5146999992,Pillar_Point_STW
FCH1000571,junction,4.81,811478.5470000003,825580.7530000005,Pillar_Point_STW
FCH1000572,junction,5.44,811661.0880000005,825498.4110000003,Pillar_Point_STW
FCH1000573,junction,5.4,811712.5489999996,825475.7569999993,Pillar_Point_STW
FCH1000574,junction,6.6,811877.5480000004,825402.7530000005,Pillar_Point_STW
