node,type,invert_elev,x,y,catchment
31813001,junction,463.86080772161546,1959751.015,591871.497,WWTP4
31813002,junction,466.65887731775456,1959827.796,591883.354,WWTP4
31813003,junction,471.2918465836932,1959931.888,591889.023,WWTP4
31813004,junction,479.2349504699009,1960035.889,591894.685,WWTP4
31813005,junction,477.02209804419607,1960038.124,591854.517,WWTP4
31813006,junction,470.2646685293371,1959934.068,591848.85,WWTP4
31813007,junction,465.2293624587249,1959829.978,591843.181,WWTP4
31813008,junction,462.26670053340104,1959750.674,591838.863,WWTP4
31813009,junction,458.6304292608586,1959578.818,591828.77,WWTP4
31813010,junction,476.01016002032003,1960081.589,591773.699,WWTP4
31813011,junction,471.64541529083056,1959994.855,591768.921,WWTP4
31813012,junction,465.3329946659893,1959873.123,591762.216,WWTP4
31813013,junction,460.21539243078485,1959751.39,591755.507,WWTP4
31813014,junction,456.1828803657608,1959578.159,591767.506,WWTP4
31813015,junction,458.80053727891385,1959575.667,591828.597,WWTP4
31814001,junction,537.0830581661162,1960748.871,592126.005,WWTP4
31814002,junction,535.0134620269239,1960824.675,592069.262,WWTP4
31814003,junction,549.9090678181354,1960946.59,592068.69,WWTP4
31814004,junction,552.9601219202436,1961068.505,592068.116,WWTP4
31814005,junction,527.5123190246379,1960776.641,592060.331,WWTP4
31814006,junction,519.4869189738379,1960742.932,592017.318,WWTP4
31814007,junction,513.6865633731267,1960738.985,591979.805,WWTP4
31814008,junction,521.742443484887,1960855.866,591967.71,WWTP4
31814009,junction,528.9966979933959,1960928.708,591966.877,WWTP4
31814010,junction,533.2913385826771,1961001.548,591966.043,WWTP4
31814011,junction,484.6360172720344,1960569.054,591696.551,WWTP4
31814012,junction,481.92938785877567,1960139.953,591900.412,WWTP4
31814013,junction,479.70129540259074,1960142.173,591860.242,WWTP4
31814014,junction,482.6609093218186,1960217.174,591864.613,WWTP4
31814016,junction,485.6052832105663,1960290.738,591867.346,WWTP4
31814018,junction,491.13131826263646,1960401.373,591866.315,WWTP4
31814019,junction,498.24841249682487,1960728.218,591877.369,WWTP4
31814020,junction,502.2961645923291,1960847.324,591869.457,WWTP4
31814021,junction,510.00152400304796,1960920.471,591868.621,WWTP4
31814022,junction,514.6619253238506,1961008.853,591867.611,WWTP4
31814023,junction,513.4152908305816,1961039.331,591867.263,WWTP4
31814024,junction,513.6195072390144,1961064.017,591866.981,WWTP4
31814025,junction,481.6611633223266,1960218.485,591836.706,WWTP4
31814026,junction,491.7409194818387,1960455.129,591848.647,WWTP4
31814027,junction,478.44246888493774,1960168.335,591778.261,WWTP4
31814028,junction,484.19405638811287,1960306.463,591780.862,WWTP4
31814029,junction,487.4737109474217,1960386.024,591781.118,WWTP4
31814030,junction,478.994157988316,1960217.771,591762.538,WWTP4
31814031,junction,484.49580899161793,1960717.222,591772.774,WWTP4
31814032,junction,488.68072136144264,1960823.24,591771.576,WWTP4
31814033,junction,494.7889255778511,1960928.691,591770.384,WWTP4
31814034,junction,502.9118618237236,1961034.141,591769.371,WWTP4
31814035,junction,481.91109982219973,1960301.548,591732.957,WWTP4
31814036,junction,483.63322326644635,1960390.189,591723.247,WWTP4
31814037,junction,484.59334518669016,1960483.092,591730.887,WWTP4
31814038,junction,482.28600457200906,1960655.363,591728.332,WWTP4
31814039,junction,481.61239522479036,1960666.194,591714.763,WWTP4
31814041,junction,481.7404114808229,1960663.743,591717.834,WWTP4
31814042,junction,517.6764033528066,1960312.13,592127.804,WWTP4
31814043,junction,509.87960375920727,1960420.723,592125.883,WWTP4
31814044,junction,529.4051308102615,1960615.919,592111.131,WWTP4
31814045,junction,508.8188976377951,1960311.698,592069.96,WWTP4
31814046,junction,503.45135890271763,1960430.309,592074.006,WWTP4
31814047,junction,504.79552959105905,1960524.276,592023.74,WWTP4
31814048,junction,504.5699771399542,1960560.601,592011.215,WWTP4
31814049,junction,510.3429006858013,1960567.786,592008.677,WWTP4
31814050,junction,522.4373888747776,1960632.607,592051.032,WWTP4
31814051,junction,497.5046990093978,1960377.713,591964.141,WWTP4
31814052,junction,496.559817119634,1960437.095,591960.036,WWTP4
31814053,junction,504.26517653035296,1960551.271,591957.372,WWTP4
31814054,junction,508.40436880873756,1960636.672,591957.315,WWTP4
31814055,junction,487.6840233680466,1960292.467,591928.065,WWTP4
31814056,junction,494.85598171196324,1960443.539,591911.324,WWTP4
31814057,junction,488.0375920751841,1960586.592,591815.164,WWTP4
31814058,junction,486.74218948437886,1960635.455,591805.51,WWTP4
31814059,junction,515.9603759207517,1961180.413,591888.746,WWTP4
31814060,junction,512.5130810261619,1961117.405,591853.084,WWTP4
31814061,junction,511.5651511303021,1961152.869,591836.376,WWTP4
31814062,junction,515.1069342138683,1961231.091,591849.968,WWTP4
31814063,junction,505.6184912369824,1961234.134,591719.757,WWTP4
31814064,junction,499.71755143510273,1961143.796,591698.009,WWTP4
31814065,junction,503.0033020066039,1961211.51,591697.483,WWTP4
31814800,junction,481.7465074930149,1960666.008,591719.676,WWTP4
31815001,junction,521.7018431276911,1962107.583,592030.831,WWTP4
31815002,junction,517.7241951723952,1962082.328,591927.72,WWTP4
31815003,junction,517.2517542275133,1962216.56,591965.66,WWTP4
31815004,junction,514.9261255762559,1962179.552,591934.59,WWTP4
31815005,junction,510.0858918957886,1962009.961,591861.994,WWTP4
31815006,junction,512.3231283702615,1962134.111,591882.53,WWTP4
31815007,junction,503.20654213708906,1962083.588,591801.045,WWTP4
31815008,junction,505.70895514191506,1962230.014,591858.731,WWTP4
31815009,junction,504.67263306927094,1962189.402,591824.623,WWTP4
31815010,junction,492.5994809229666,1962254.106,591747.593,WWTP4
31815011,junction,490.8651654543357,1962158.442,591717.834,WWTP4
31815012,junction,509.91825156050794,1962287.159,591929.863,WWTP4
31815013,junction,499.7622952485953,1962414.149,591866.937,WWTP4
31815014,junction,488.7041291322631,1962557.441,591882.081,WWTP4
31815015,junction,467.6119269478587,1962633.745,591761.847,WWTP4
31815016,junction,488.3353203946456,1962526.156,591829.036,WWTP4
31815017,junction,484.78744129888736,1962479.331,591765.088,WWTP4
31815018,junction,482.0960519161086,1962380.156,591703.468,WWTP4
31815019,junction,482.6446930133908,1962356.925,591742.685,WWTP4
31815801,junction,482.81393094240104,1962355.371,591745.309,WWTP4
34901001,junction,451.56819913639833,1959576.888,591649.363,WWTP4
34901002,junction,458.01778003556007,1959750.56,591669.086,WWTP4
34901003,junction,462.36423672847343,1959872.0,591678.723,WWTP4
34901004,junction,468.6797053594107,1959993.737,591685.325,WWTP4
34901005,junction,471.3345186690373,1960038.652,591659.775,WWTP4
34901006,junction,464.4307848615698,1959951.388,591625.838,WWTP4
34901007,junction,467.24714249428496,1960041.274,591611.995,WWTP4
34901008,junction,463.77851155702314,1959953.397,591589.371,WWTP4
34901009,junction,463.6657353314706,1959953.618,591585.363,WWTP4
34901010,junction,441.31508456055735,1958955.807,591536.076,WWTP4
34901011,junction,441.50673101346206,1959036.856,591555.835,WWTP4
34901012,junction,442.0248920497841,1959114.154,591560.157,WWTP4
34901013,junction,446.33782067564147,1959519.833,591570.082,WWTP4
34901014,junction,446.14884429768864,1959520.921,591553.966,WWTP4
34901015,junction,448.9530099060199,1959576.069,591573.172,WWTP4
34901016,junction,456.4053848107696,1959779.356,591567.415,WWTP4
34901017,junction,460.6512573025146,1959865.307,591580.514,WWTP4
34901018,junction,445.9141478282957,1959504.987,591531.87,WWTP4
34901019,junction,450.004572009144,1959605.645,591531.314,WWTP4
34901020,junction,455.5427990855982,1959761.52,591548.431,WWTP4
34901021,junction,463.25425450850895,1959962.061,591530.846,WWTP4
34901022,junction,468.46024892049775,1960187.612,591505.318,WWTP4
34901023,junction,469.1369062738125,1960113.699,591553.347,WWTP4
34901024,junction,439.57124714249437,1959328.64,591498.55,WWTP4
34901025,junction,442.1041402082805,1959445.734,591468.769,WWTP4
34901026,junction,453.1653543307087,1959681.462,591529.991,WWTP4
34901027,junction,442.1498602997207,1959552.904,591455.581,WWTP4
34901028,junction,451.65963931927865,1959714.779,591498.685,WWTP4
34901029,junction,448.57810515621026,1959662.363,591442.901,WWTP4
34901030,junction,453.3238506477013,1959840.664,591478.022,WWTP4
34901031,junction,455.500127000254,1959877.74,591476.122,WWTP4
34901032,junction,462.3185166370332,1960002.313,591481.936,WWTP4
34901035,junction,437.32791465582926,1959248.355,591413.892,WWTP4
34901036,junction,438.34290068580145,1959387.316,591406.556,WWTP4
34901037,junction,448.4135128270257,1959701.119,591406.384,WWTP4
34901038,junction,452.66243332486664,1959792.615,591435.855,WWTP4
34901039,junction,436.84328168656333,1959181.317,591342.566,WWTP4
34901040,junction,437.7851155702311,1959287.238,591358.881,WWTP4
34901041,junction,438.7025654051309,1959490.105,591388.705,WWTP4
34901042,junction,443.5732791465583,1959598.853,591375.307,WWTP4
