node,type,invert_elev,x,y,catchment
CB25983,junction,142.07162901172225,-79.4527473,43.6839044,WWTP3
CN15321,junction,97.86489266515761,-79.4837733,43.6776642,WWTP3
CN15381,junction,46.524939520770666,-79.4119424,43.6420898,WWTP1
CN16004,junction,0.0,-79.4598207,43.6538463,WWTP1
CN16064,junction,-74.43510788834371,-79.3329902,43.6664159,WWTP1
CN16111,junction,117.20424784081165,-79.4993431,43.6669124,WWTP3
CN16113,junction,38.764640921404656,-79.4841761,43.6795041,WWTP3
CN16116,junction,-49.80854067858316,-79.3601504,43.6599928,WWTP1
CN16119,junction,146.31023490208335,-79.4529625,43.6905074,WWTP3
CN16122,junction,-16.551687362858207,-79.3912329,43.6434439,WWTP1
CN16126,junction,100.0130398312206,-79.5105009,43.621472,WWTP3
CN16131,junction,-28.744643983759968,-79.378971,43.6458498,WWTP1
CN16133,junction,-26.00816978444271,-79.3807062,43.6455553,WWTP1
CN16136,junction,76.26143712971513,-79.3742377,43.6495452,WWTP1
CN16139,junction,139.62989107867446,-79.5248201,43.7391452,WWTP3
CN16140,junction,-76.9814298490955,-79.3341116,43.6594707,WWTP1
CN16141,junction,-69.93949411476055,-79.3401695,43.6581475,WWTP1
CN16142,junction,-146.88326520952418,-79.3322238,43.7047376,WWTP1
CN16143,junction,-74.17167621294242,-79.482048,43.6310278,WWTP3
CN16146,junction,120.68585855594407,-79.2998107,43.6830192,WWTP1
CN16147,junction,-76.0732848900177,-79.3316712,43.6667116,WWTP1
CN16148,junction,-57.69770729242512,-79.3514728,43.6623556,WWTP1
CN16154,junction,112.40522511537814,-79.4036314,43.6667164,WWTP1
CN16156,junction,-58.025200866678695,-79.3513155,43.6624504,WWTP1
CN16157,junction,-70.82553777217119,-79.3390826,43.6583739,WWTP1
CN16160,junction,79.5921904311614,-79.2989252,43.6703278,WWTP1
CN16161,junction,79.84567697647053,-79.2980034,43.6705298,WWTP1
CN16162,junction,-13.504958434530254,-79.3075787,43.6640638,WWTP1
CN16167,junction,57.13102475751335,-79.4215568,43.6381876,WWTP1
CN16168,junction,-35.22103054267331,-79.2659036,43.7237864,WWTP1
CN16169,junction,128.2326421130243,-79.1740716,43.8129547,WWTP4
CN16205,junction,-91.62542372011345,-79.3205202,43.6635779,WWTP1
CN16207,junction,-1.448309342159783,-79.5800404,43.7619024,WWTP3
CN16208,junction,-91.36034292008597,-79.3206222,43.6635547,WWTP1
CN16222,junction,85.89786172382449,-79.3631118,43.6603545,WWTP1
CN16242,junction,102.75930387263678,-79.5076317,43.6252531,WWTP3
CN16243,junction,95.49540923335995,-79.5006177,43.6200611,WWTP3
CN16264,junction,135.7636450264796,-79.566918,43.6436642,WWTP5
CN16266,junction,79.20301646696556,-79.3515626,43.6602017,WWTP1
CN16269,junction,78.32979640269939,-79.3514821,43.6592036,WWTP1
CN16276,junction,-35.56078862374379,-79.2657746,43.7236481,WWTP1
CN16279,junction,-17.144143549839193,-79.4777721,43.6780444,WWTP3
CN16284,junction,180.53935148924126,-79.5209583,43.7572616,WWTP3
CN16285,junction,84.51535610328386,-79.3874219,43.6491401,WWTP1
CN16289,junction,189.70742866218507,-79.4136329,43.7790344,WWTP1
CN16297,junction,-33.426460891004645,-79.2675403,43.7244716,WWTP1
CN16318,junction,78.19397700597285,-79.2841345,43.6708616,WWTP1
CN16319,junction,77.12903038643286,-79.2840574,43.6708499,WWTP1
CN16320,junction,78.24984793580275,-79.2840459,43.67088,WWTP1
CN16325,junction,131.6901751131435,-79.5319213,43.7081016,WWTP3
CN16340,junction,137.15949102182537,-79.1956997,43.7920307,WWTP4
CN16342,junction,115.93530944661049,-79.4774947,43.6702564,WWTP3
CN16352,junction,-123.26868867171453,-79.3653318,43.7222467,WWTP1
CN16354,junction,108.96263299729856,-79.4165704,43.6655653,WWTP1
CN16355,junction,-167.19299031395758,-79.4871682,43.6375041,WWTP3
CN16403,junction,113.34262783747425,-79.3900077,43.6807771,WWTP1
CN16404,junction,107.99988084635781,-79.1836263,43.8057297,WWTP4
CN16406,junction,24.26098409163981,-79.3971508,43.6341437,WWTP1
CN16407,junction,23.748332579838426,-79.3971524,43.6341375,WWTP1
CN16408,junction,125.03,-79.3953902,43.6330981,WWTP1
CN16409,junction,125.38000000000001,-79.3953823,43.6330932,WWTP1
CN16413,junction,84.2153376424998,-79.4103679,43.6459512,WWTP1
CN16418,junction,-87.96347190211156,-79.5311774,43.7041412,WWTP3
CN16419,junction,117.87048286927984,-79.4146478,43.6737529,WWTP1
CN16420,junction,-27.703903249630343,-79.3773407,43.6506911,WWTP1
CN16448,junction,156.49763154855395,-79.2916705,43.7270592,WWTP1
CN16449,junction,150.7686141494673,-79.2747174,43.7316387,WWTP1
CN16451,junction,-1.7004363585431552,-79.5135154,43.6976742,WWTP3
CN16466,junction,128.06642607185825,-79.3642604,43.7090448,WWTP2
CN16469,junction,131.66447212866515,-79.2813583,43.7798366,WWTP4
CN16478,junction,122.90215574454888,-79.3903415,43.6827527,WWTP1
CN16484,junction,125.68494305860074,-79.3630466,43.7076198,WWTP2
CN16490,junction,165.12035908640695,-79.4341627,43.6992345,WWTP2
CN16491,junction,109.66444358881867,-79.4777587,43.678028,WWTP3
CN16497,junction,75.2735627643651,-79.3548523,43.655635,WWTP1
CN16499,junction,105.81480975050893,-79.5118934,43.6398952,WWTP3
CN16500,junction,186.3543476806431,-79.4502455,43.7372383,WWTP1
CN16502,junction,-49.923874132529065,-79.5676589,43.66842,WWTP3
CN16503,junction,84.32527758129207,-79.4227324,43.6412728,WWTP1
CN16541,junction,263.15809854106647,-79.5438434,43.6614639,WWTP3
CN16548,junction,145.31477299566978,-79.4345559,43.6822331,WWTP1
CN16565,junction,-66.55870307750581,-79.5539225,43.6590603,WWTP3
CN16568,junction,156.54501591451987,-79.2913753,43.7459494,WWTP1
CN16574,junction,-64.53827136217942,-79.5560557,43.6594352,WWTP3
CN16581,junction,75.20807739679542,-79.3273448,43.6639452,WWTP1
CN16583,junction,117.1149667396563,-79.4576095,43.6665076,WWTP1
CN16585,junction,113.73513295110955,-79.1814378,43.7567051,WWTP4
CN16591,junction,-56.3933416207858,-79.5645776,43.6625915,WWTP3
CN16592,junction,-56.81617597682239,-79.5643121,43.6624075,WWTP3
CN16596,junction,113.84705757206845,-79.4277273,43.667232,WWTP1
CN16597,junction,113.85130071903058,-79.4277311,43.6672327,WWTP1
CN16600,junction,117.28165153905267,-79.3551965,43.6885447,WWTP1
CN16601,junction,137.16633131898516,-79.5356324,43.7279164,WWTP3
CN16609,junction,83.38149453300254,-79.4456293,43.6382422,WWTP1
CN16615,junction,-37.48835532863382,-79.2191573,43.7833646,WWTP4
CN16616,junction,-2.650226185329561,-79.3746778,43.6729701,WWTP1
CN16621,junction,124.56993530508504,-79.380672,43.6854296,WWTP1
CN16625,junction,160.20893554044756,-79.4402501,43.6944898,WWTP3
CN16628,junction,107.81974037535502,-79.1645649,43.7860802,WWTP4
CN16671,junction,153.84060746720965,-79.3901757,43.7085897,WWTP2
CN16672,junction,153.73040593300513,-79.3901139,43.7084912,WWTP2
CN16677,junction,79.3317532288824,-79.5010869,43.6017903,WWTP5
CN16678,junction,79.31640325777978,-79.5010627,43.6017956,WWTP5
CN16682,junction,165.304,-79.4347029,43.6991813,WWTP2
CN16685,junction,87.17604923386747,-79.4889156,43.6438532,WWTP3
CN16700,junction,101.00266538851574,-79.4977547,43.6508148,WWTP3
CN16701,junction,104.31030257690122,-79.564025,43.6271441,WWTP5
CN16705,junction,111.06919278535239,-79.4474385,43.6616711,WWTP1
CN16707,junction,-21.554989091026844,-79.383242,43.6493823,WWTP1
CN16718,junction,78.8064042013109,-79.3585538,43.655458,WWTP1
CN16719,junction,76.62587833849022,-79.3583604,43.6554591,WWTP1
CN16720,junction,77.19335870578622,-79.3582379,43.655608,WWTP1
CN16729,junction,76.70409921278703,-79.3764179,43.6457422,WWTP1
CN16739,junction,77.28896287166137,-79.3755722,43.6436304,WWTP1
CN16743,junction,49.07745960477153,-79.4813569,43.6886522,WWTP3
CN1783,junction,74.96695921165026,-79.3166637,43.6662746,WWTP1
CN2128,junction,92.25669694144018,-79.4596528,43.6539192,WWTP1
CN2201,junction,74.18299717559591,-79.3022036,43.6695588,WWTP1
CN2226,junction,74.96384692853441,-79.3166554,43.6662764,WWTP1
CN2257,junction,2.0820724708206617,-79.3816681,43.6229249,WWTP1
CN2260,junction,4.056778199248769,-79.3794295,43.6221392,WWTP1
CN2273,junction,2.578513821534217,-79.3836884,43.6243148,WWTP1
CN2303,junction,-0.40414037887537413,-79.3836383,43.6141958,WWTP1
CN2304,junction,2.2947647748552953,-79.3895269,43.6247823,WWTP1
CN2322,junction,-1.1156062508804703,-79.3832426,43.6137025,WWTP1
CN2474,junction,-86.2247580800527,-79.3211692,43.6653268,WWTP1
CN2518,junction,1.3547409759571967,-79.3819172,43.6234961,WWTP1
CN2535,junction,0.7921913802030414,-79.3735094,43.6201536,WWTP1
CN2542,junction,0.8919193819264979,-79.3818074,43.6131312,WWTP1
CN2552,junction,0.7921785363859314,-79.3719802,43.6173505,WWTP1
CN2561,junction,1.0921707862130368,-79.3839228,43.6157178,WWTP1
CN2645,junction,130.3484462702957,-79.4585905,43.6832766,WWTP3
CN2790,junction,41.61475377082502,-79.4706084,43.6370301,WWTP3
CN2867,junction,0.3134801538188421,-79.3903214,43.6265375,WWTP1
CN2886,junction,2.151937427502102,-79.356504,43.6277088,WWTP1
CN2888,junction,2.7773122630133806,-79.3567675,43.6320021,WWTP1
CN3017,junction,1.7921552496807591,-79.3765808,43.6203109,WWTP1
CN3061,junction,-8.932794873543635,-79.1688073,43.8042412,WWTP4
CN3062,junction,-9.145815417496578,-79.1688011,43.8042266,WWTP4
CN3076,junction,-3.4553490553807453,-79.1713752,43.8083814,WWTP4
CN3077,junction,-4.578983241549039,-79.1705615,43.8080478,WWTP4
CN3099,junction,116.46604850853586,-79.1649163,43.7955625,WWTP4
CN3100,junction,-20.884557966835178,-79.164105,43.7938817,WWTP4
CN3115,junction,97.34350419422314,-79.1421915,43.7927778,WWTP4
